timestamps,SPEED,T_UUT_EM_InCoolMeas,T_UUT_EM_OutCoolMeas,TORQUE,Qcool,T_UUT_EM_Winding,Ierms_Xion_ACCalc,,,Cp [kJ/kg K],L/min,m3/s,Density kg/m3
s,rpm,°C,°C,Nm,W,°C,A,,,3350,6,0.0001,1070
79,4323.376953,23.17556953,24.20476913,8.575059891,368.9165967,38.06005859,24.97294044,,,,,,
79.5,3944.49707,23.16497993,24.22530937,-9.766590118,380.0750868,38.2027092,21.34903908,,,,,,
80,4843.041992,23.15933037,24.23755074,-8.982089996,386.4880907,38.3370018,21.87132072,,,,,,
80.5,4588.062988,23.18777084,24.25333023,8.648670197,381.9497623,38.4883194,24.95586014,,,,,,
81,4519.041016,23.1982708,24.24608994,37.47373962,375.5907699,38.6223793,53.37657928,,,,,,
81.5,4730.158203,23.16846085,24.25078964,61.57548904,387.9607571,38.74427032,232.2118988,,,,,,
82,5066.314941,23.18979073,24.26605034,61.85990906,385.7852583,38.87269974,303.2372131,,,,,,
82.5,5185.339844,23.18860054,24.26198959,82.75028992,384.7563062,38.99322891,274.4490051,,,,,,
83,4221.729004,23.19323921,24.2836895,89.26930237,390.8719053,39.11582184,343.3294067,,,,,,
83.5,3875.14209,23.21475029,24.27008057,68.68647003,378.2831376,39.21846008,307.0816956,,,,,,
84,4008.139893,23.22109985,24.29404068,61.24018097,384.5956392,39.33428955,286.3432922,,,,,,
84.5,4122.907227,23.19710922,24.27774048,52.90584183,387.3522738,39.44404984,248.7142944,,,,,,
85,4200.844238,23.23138046,24.29854965,43.9683609,382.526796,39.55904007,211.8972015,,,,,,
85.5,4275.202148,23.19473076,24.30361938,42.80604935,397.481128,39.68413925,179.1445007,,,,,,
86,4340.845215,23.24361992,24.33016968,43.09857941,389.4737611,39.81110001,187.0796051,,,,,,
86.5,4410.274902,23.22043037,24.33321953,43.96445847,398.8792723,39.94459915,182.7368927,,,,,,
87,4481.807129,23.2468605,24.36059952,45.06320953,399.2197495,40.07489014,194.9673004,,,,,,
87.5,4557.757813,23.22365952,24.38619995,47.69961929,416.7126192,40.20637894,194.9024963,,,,,,
88,4636.266113,23.23214912,24.36771011,46.49757004,407.0418366,40.3367691,211.7888947,,,,,,
88.5,4721.888184,23.24777031,24.35773087,35.52669907,397.8653613,40.47056961,197.0233002,,,,,,
89,4787.782227,23.21526909,24.38367081,9.081600189,418.8135959,40.60282898,132.3173065,,,,,,
89.5,4770.707031,23.24328995,24.37356949,1.926511049,405.1487015,40.74906158,24.61411095,,,,,,
90,4457.504883,23.23352051,24.38586044,7.09703207,413.0562498,40.88805008,24.03017044,,,,,,
90.5,4062.726074,23.25064087,24.40405083,-9.465000153,413.4397994,41.01527023,21.55937004,,,,,,
91,4861.829102,23.23284912,24.40481949,-1.896862984,420.0927782,41.13895035,22.62372017,,,,,,
91.5,4392.367188,23.24600029,24.38858032,4.227324009,409.5578126,41.27043915,24.08905029,,,,,,
92,4122.380859,23.25391006,24.42523003,11.51865005,419.8596402,41.38500977,21.96068954,,,,,,
92.5,4116.317871,23.25387955,24.44137955,11.12335014,425.659375,41.4870491,75.45231628,,,,,,
93,4372.703125,23.26514053,24.43958092,1.081223965,420.9781556,41.58953857,56.69168091,,,,,,
93.5,4624.196777,23.28252983,24.46301079,-0.673669517,423.143399,41.6941185,25.38180923,,,,,,
94,4509.757813,23.27588081,24.46694946,2.388669968,426.9385573,41.80138016,23.63408089,,,,,,
94.5,4207.006836,23.26955986,24.46747017,3.274631977,429.3909502,41.90039063,22.60350037,,,,,,
95,3927.831055,23.27544975,24.48608017,2.295737982,433.9504729,41.98060989,21.13018036,,,,,,
95.5,3767.987061,23.28058052,24.49747086,29.07148933,436.1943406,42.06097031,20.09752083,,,,,,
96,3804.680908,23.26926041,24.47896957,63.75440979,433.6202511,42.12907028,182.9835968,,,,,,
96.5,4204.794922,23.2876606,24.50802994,79.43015289,437.4413896,42.19384003,344.1001892,,,,,,
97,4624.12207,23.29040909,24.51470947,77.40918732,438.8504728,42.26150131,368.7391052,,,,,,
97.5,5013.652832,23.31656075,24.53104019,69.99334717,435.3301576,42.34014893,341.6069946,,,,,,
98,5136.759766,23.30514908,24.5373497,90.9367981,441.6823132,42.42388916,310.7846985,,,,,,
98.5,4179.937012,23.31292915,24.52762032,109.0217972,435.4060471,42.51123047,380.9881897,,,,,,
99,3973.191895,23.33153915,24.52750015,88.81240082,428.6922199,42.58966064,395.9497986,,,,,,
99.5,4146.268066,23.33609009,24.54507065,82.86048126,433.3590818,42.67023087,378.348999,,,,,,
100,4305.97998,23.31341934,24.54330063,79.35896301,440.8509472,42.75605011,348.740387,,,,,,
100.5,4456.826172,23.33321953,24.5571003,76.56773376,438.7000612,42.85834885,339.9927979,,,,,,
101,4593.384766,23.3277607,24.57858086,73.4181366,448.3564863,42.96657181,326.8240051,,,,,,
101.5,4721.53418,23.32101059,24.58987045,70.45860291,454.822818,43.08779907,312.6914978,,,,,,
102,4838.199219,23.3375206,24.60924911,67.62651825,455.8510864,43.22016907,299.70401,,,,,,
102.5,4945.492188,23.33828926,24.59003067,65.59047699,448.6867082,43.352211,287.5375061,,,,,,
103,5044.625977,23.34790039,24.60367012,64.36746979,450.1306596,43.49802017,280.322113,,,,,,
103.5,5139.930176,23.35065079,24.60049057,63.81092072,448.0050701,43.64849091,280.3489075,,,,,,
104,5231.559082,23.36339951,24.6274395,61.8468399,453.0951356,43.80810165,280.7844849,,,,,,
104.5,5314.128906,23.37566948,24.63146973,59.74948883,450.1415986,43.9777298,276.5638123,,,,,,
105,5391.673828,23.34832954,24.64532089,57.67873001,464.9065488,44.14431,273.3114014,,,,,,
105.5,5460.63916,23.35619926,24.64722061,54.69715118,462.7666018,44.31388092,269.3288879,,,,,,
106,5526.476074,23.36584091,24.66617012,54.40267944,466.1030047,44.48791885,256.4136047,,,,,,
106.5,5587.296875,23.38174057,24.67544937,55.25210953,463.7299198,44.66321182,269.319397,,,,,,
107,5645.89209,23.39175034,24.66382027,54.22385025,455.9734668,44.83948135,274.7409973,,,,,,
107.5,5702.708008,23.3895607,24.66617012,53.84453964,457.6006469,45.02111053,277.6702881,,,,,,
108,5755.880859,23.40081978,24.69042969,52.76390839,462.2606719,45.20238113,279.4064026,,,,,,
108.5,5806.72998,23.40719986,24.68674088,52.01871109,458.6514771,45.38174057,280.2457886,,,,,,
109,5850.551758,23.3987999,24.71044922,49.2700386,470.1606997,45.56599045,277.3262939,,,,,,
109.5,5893.073242,23.3927002,24.69158936,47.14929962,465.5868195,45.74444962,267.9440002,,,,,,
110,5933.935059,23.44146919,24.72174072,45.95935059,458.91333,45.92208099,269.5546875,,,,,,
110.5,5968.384766,23.39023018,24.71627998,46.92333984,475.3225525,46.10668945,268.5783081,,,,,,
111,5999.25293,23.4392395,24.71677017,47.05730057,457.9308687,46.29259109,280.5432129,,,,,,
111.5,6029.684082,23.43066025,24.7211895,46.42335129,462.5902101,46.47692108,280.6951904,,,,,,
112,6059.771973,23.41790962,24.77289009,45.73009872,485.692749,46.65855026,279.1043091,,,,,,
112.5,6083.578125,23.43625069,24.77883911,43.93183899,481.2508208,46.84170151,279.8611145,,,,,,
113,6104.351074,23.45443916,24.76929092,41.33432007,471.3086137,47.02788162,272.8680115,,,,,,
113.5,6121.124023,23.41431046,24.79910088,38.49069977,496.3781262,47.20832062,266.7182007,,,,,,
114,6126.063965,23.4269104,24.78848076,33.92554855,488.0548949,47.38713837,258.4801025,,,,,,
114.5,6124.401855,23.44720078,24.8019104,28.53919983,485.5956652,47.56692123,236.8975067,,,,,,
115,6114.036133,23.4456501,24.78033066,15.29032993,478.4162457,47.74882126,218.2720947,,,,,,
115.5,6092.466797,23.44165039,24.8187294,2.028728962,493.6139711,47.93196869,168.8101959,,,,,,
116,5991.365234,23.44680977,24.82683945,1.719923019,494.6716382,48.1167717,130.6777039,,,,,,
116.5,5645.325195,23.44607925,24.82534981,3.57040906,494.3995299,48.2972908,104.8917007,,,,,,
117,5192.98584,23.46326065,24.81882095,4.336908817,485.9005905,48.45555115,48.6823082,,,,,,
117.5,4775.48584,23.4541893,24.83956909,3.680315971,496.5893862,48.60834122,26.03354073,,,,,,
118,4449.75293,23.48278999,24.85302925,2.866322994,491.162262,48.74494171,23.84070969,,,,,,
118.5,4206.875977,23.49151993,24.89594078,1.721375942,503.4146546,48.87459946,22.27807045,,,,,,
119,4053.72998,23.49628067,24.86136055,0.960559011,489.3128829,48.99858856,21.33366966,,,,,,
119.5,3966.788086,23.49041939,24.86111069,16.24160957,491.3242963,49.10852051,20.70673943,,,,,,
120,3954.123047,23.50704956,24.8824501,38.73160172,493.0123247,49.21899033,106.6605988,,,,,,
120.5,4025.512939,23.48885918,24.88928032,51.92565918,501.9809586,49.31921005,203.4358978,,,,,,
